date;gain (18h);isTp;gain sl;isTp;isSl;gain heure (18h);isTp;gain heure SL (18h);isTp;isSl
01/01/06;0;0;0;0;0;0;0;0;0;0
02/01/06;0;0;0;0;0;0;0;0;0;0
03/01/06;92,598547;0;92,598547;0;0;92,598547;0;92,598547;0;0
04/01/06;77,329553;0;77,329553;0;0;77,329553;0;77,329553;0;0
05/01/06;42,643923;0;42,643923;0;0;42,643923;0;42,643923;0;0
06/01/06;64,044508;0;64,044508;0;0;64,044508;0;64,044508;0;0
07/01/06;0;0;0;0;0;0;0;0;0;0
08/01/06;0;0;0;0;0;0;0;0;0;0
09/01/06;-21,392454;0;-21,392454;0;0;-21,392454;0;-21,392454;0;0
10/01/06;-40,834846;0;-40,834846;0;0;-40,834846;0;-40,834846;0;0
11/01/06;3,881736;0;3,881736;0;0;3,881736;0;3,881736;0;0
12/01/06;-3,87647;0;-3,87647;0;0;-3,87647;0;-3,87647;0;0
13/01/06;-25,192171;0;-25,192171;0;0;-25,192171;0;-25,192171;0;0
14/01/06;0;0;0;0;0;0;0;0;0;0
15/01/06;0;0;0;0;0;0;0;0;0;0
16/01/06;-17,417107;0;-17,417107;0;0;-17,417107;0;-17,417107;0;0
17/01/06;7,741935;0;7,741935;0;0;7,741935;0;7,741935;0;0
18/01/06;-29,064135;0;-29,064135;0;0;-29,064135;0;-29,064135;0;0
19/01/06;-27,061856;0;-27,061856;0;0;-27,061856;0;-27,061856;0;0
20/01/06;3,864236;0;3,864236;0;0;3,864236;0;3,864236;0;0
21/01/06;0;0;0;0;0;0;0;0;0;0
22/01/06;0;0;0;0;0;0;0;0;0;0
23/01/06;29,051001;0;29,051001;0;0;29,051001;0;29,051001;0;0
24/01/06;11,627156;0;11,627156;0;0;11,627156;0;11,627156;0;0
25/01/06;32,898981;0;32,898981;0;0;32,898981;0;32,898981;0;0
26/01/06;-44,536242;0;-44,536242;0;0;-44,536242;0;-44,536242;0;0
27/01/06;-32,882012;0;-32,882012;0;0;-32,882012;0;-32,882012;0;0
28/01/06;0;0;0;0;0;0;0;0;0;0
29/01/06;0;0;0;0;0;0;0;0;0;0
30/01/06;-50,21567;0;-50,21567;0;0;-50,21567;0;-50,21567;0;0
31/01/06;-3,86001;0;-3,86001;0;0;-3,86001;0;-3,86001;0;0
01/02/06;17,376754;0;17,376754;0;0;17,376754;0;17,376754;0;0
02/02/06;19,283924;0;19,283924;0;0;19,283924;0;19,283924;0;0
03/02/06;-11,571098;0;-11,571098;0;0;-11,571098;0;-11,571098;0;0
04/02/06;0;0;0;0;0;0;0;0;0;0
05/02/06;0;0;0;0;0;0;0;0;0;0
06/02/06;-28,920308;0;-28,920308;0;0;-28,920308;0;-28,920308;0;0
07/02/06;51,996405;0;51,996405;0;0;51,996405;0;51,996405;0;0
08/02/06;-42,487447;0;-42,487447;0;0;-42,487447;0;-42,487447;0;0
