date;gain (18h);isTp;gain sl;isTp;isSl;gain heure (16h);isTp;gain heure SL (17h);isTp;isSl
01/01/06;0;0;0;0;0;0;0;0;0;0
02/01/06;0;0;0;0;0;0;0;0;0;0
03/01/06;-39,261306;0;-39,261306;0;0;-82,884979;0;-52,348408;0;0
04/01/06;56,603774;0;56,603774;0;0;39,187228;0;74,020319;0;0
05/01/06;8,705746;0;8,705746;0;0;-17,411492;0;13,058619;0;0
06/01/06;130,491518;0;130,491518;0;0;104,393214;0;165,289256;0;0
07/01/06;0;0;0;0;0;0;0;0;0;0
08/01/06;0;0;0;0;0;0;0;0;0;0
09/01/06;-17,538731;0;-17,538731;0;0;-13,154049;0;13,154049;0;0
10/01/06;-8,778347;0;-8,778347;0;0;13,16752;0;-17,556693;0;0
11/01/06;-135,825909;0;-120;0;1;-140,20739;0;-120;0;1
12/01/06;165,842304;0;165,842304;0;0;178,935118;0;170,206576;0;0
13/01/06;8,782201;0;8,782201;0;0;65,866511;0;35,128806;0;0
14/01/06;0;0;0;0;0;0;0;0;0;0
15/01/06;0;0;0;0;0;0;0;0;0;0
16/01/06;-100,877193;0;-100,877193;0;0;-105,263158;0;-92,105263;0;0
17/01/06;52,447552;0;52,447552;0;0;34,965035;0;26,223776;0;0
18/01/06;21,853147;0;21,853147;0;0;-48,076923;0;-8,741259;0;0
19/01/06;4,361733;0;4,361733;0;0;0;0;4,361733;0;0
20/01/06;113,40506;0;113,40506;0;0;104,681593;0;74,149462;0;0
21/01/06;0;0;0;0;0;0;0;0;0;0
22/01/06;0;0;0;0;0;0;0;0;0;0
23/01/06;30,483379;0;30,483379;0;0;30,483379;0;34,838148;0;0
24/01/06;69,69653;0;69,69653;0;0;56,62843;0;39,204298;0;0
25/01/06;122,02208;0;122,02208;0;0;95,874492;0;95,874492;0;0
26/01/06;17,479971;0;17,479971;0;0;48,06992;0;30,589949;0;0
27/01/06;78,705728;0;78,705728;0;0;83,078268;0;61,215566;0;0
28/01/06;0;0;0;0;0;0;0;0;0;0
29/01/06;0;0;0;0;0;0;0;0;0;0
30/01/06;87,489064;0;87,489064;0;0;91,863517;0;91,863517;0;0
31/01/06;52,654673;0;52,654673;0;0;-30,715226;0;17,551558;0;0
01/02/06;105,479051;0;105,479051;0;0;70,319367;0;109,874011;0;0
02/02/06;13,237241;0;13,237241;0;0;13,237241;0;17,649654;0;0
03/02/06;-119,205298;0;-120;0;1;-30,905077;0;-110,375276;0;0
04/02/06;0;0;0;0;0;0;0;0;0;0
05/02/06;0;0;0;0;0;0;0;0;0;0
06/02/06;-96,590078;0;-96,590078;0;0;-21,95229;0;-43,904581;0;0
07/02/06;-65,683842;0;-65,683842;0;0;-52,547073;0;-65,683842;0;0
08/02/06;21,853147;0;21,853147;0;0;-13,111888;0;-4,370629;0;0
09/02/06;-4,366177;0;-4,366177;0;0;-43,661767;0;-13,09853;0;0
