date;gain (18h);isTp;gain sl;isTp;isSl;gain heure (17h);isTp;gain heure SL (17h);isTp;isSl
01/01/06;0;0;0;0;0;0;0;0;0;0
02/01/06;0;0;0;0;0;0;0;0;0;0
03/01/06;-216,934331;0;-150;0;1;-206,844362;0;-150;0;1
04/01/06;-117,070741;0;-150;0;1;-107,107273;0;-150;0;1
05/01/06;-12,401819;0;-12,401819;0;0;17,362547;0;17,362547;0;0
06/01/06;-133,939644;0;-150;0;1;-133,939644;0;-150;0;1
07/01/06;0;0;0;0;0;0;0;0;0;0
08/01/06;0;0;0;0;0;0;0;0;0;0
09/01/06;106,54993;0;106,54993;0;0;76,815066;0;76,815066;0;0
10/01/06;-7,462068;0;-7,462068;0;0;-29,848271;0;-29,848271;0;0
11/01/06;-186,582635;0;-150;0;1;-97,02297;0;-150;0;1
12/01/06;271,672018;0;271,672018;0;0;269,202272;0;269,202272;0;0
13/01/06;-67,086301;0;-67,086301;0;0;0;0;0;0;0
14/01/06;0;0;0;0;0;0;0;0;0;0
15/01/06;0;0;0;0;0;0;0;0;0;0
16/01/06;74,067978;0;74,067978;0;0;74,067978;0;74,067978;0;0
17/01/06;150,766189;0;150,766189;0;0;182,896688;0;182,896688;0;0
18/01/06;86,647962;0;86,647962;0;0;32,183529;0;32,183529;0;0
19/01/06;-84,395168;0;-84,395168;0;0;-69,501903;0;-69,501903;0;0
20/01/06;-54,635762;0;-54,635762;0;0;-34,768212;0;-34,768212;0;0
21/01/06;0;0;0;0;0;0;0;0;0;0
22/01/06;0;0;0;0;0;0;0;0;0;0
23/01/06;-102,966413;0;-102,966413;0;0;-110,321157;0;-110,321157;0;0
24/01/06;-9,767215;0;-9,767215;0;0;17,092626;0;17,092626;0;0
25/01/06;46,450982;0;46,450982;0;0;19,558308;0;19,558308;0;0
26/01/06;78,277886;0;78,277886;0;0;34,246575;0;34,246575;0;0
27/01/06;181,847969;0;181,847969;0;0;164,646134;0;164,646134;0;0
28/01/06;0;0;0;0;0;0;0;0;0;0
29/01/06;0;0;0;0;0;0;0;0;0;0
30/01/06;42,117433;0;42,117433;0;0;54,504914;0;54,504914;0;0
31/01/06;-113,955409;0;-113,955409;0;0;-79,273328;0;-79,273328;0;0
01/02/06;118,625916;0;118,625916;0;0;101,326304;0;101,326304;0;0
02/02/06;-87,021382;0;-87,021382;0;0;-57,18548;0;-57,18548;0;0
03/02/06;146,547442;0;146,547442;0;0;186,289121;0;186,289121;0;0
04/02/06;0;0;0;0;0;0;0;0;0;0
05/02/06;0;0;0;0;0;0;0;0;0;0
06/02/06;77,512919;0;77,512919;0;0;47,507918;0;47,507918;0;0
07/02/06;25,039646;0;25,039646;0;0;62,599115;0;62,599115;0;0
08/02/06;92,708594;0;92,708594;0;0;50,112754;0;50,112754;0;0
09/02/06;32,56513;0;32,56513;0;0;55,11022;0;55,11022;0;0
