tpa = 290, tpv=500;;;;;;;;;;
;;;;;;;;;;
dP = -17, sl=110;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
date;gain (18h);isTp;gain sl;isTp;isSl;gain heure (24h);isTp;gain heure SL (24h);isTp;isSl
01/01/06;0;0;0;0;0;0;0;0;0;0
02/01/06;0;0;0;0;0;0;0;0;0;0
03/01/06;-40,705563;0;92,276087;1;0;-158,751696;0;0;0;0
04/01/06;-186,008896;0;-186,008896;0;0;-234,532956;0;0;0;0
05/01/06;-52,208835;0;-52,208835;0;0;-32,128514;0;0;0;0
06/01/06;281,652361;0;77,098029;1;1;354,077253;0;0;0;0
07/01/06;0;0;0;0;0;0;0;0;0;0
08/01/06;0;0;0;0;0;-3,982477;0;0;0;0
09/01/06;19,936204;0;19,936204;0;0;-63,795853;0;0;0;0
10/01/06;104,612971;1;83,906661;1;0;78,726251;1;0;0;0
11/01/06;-236;0;-240;0;1;-220;0;0;0;0
12/01/06;154,987416;0;154,987416;0;0;139,603597;1;0;0;0
13/01/06;-51,861702;0;-51,861702;0;0;-123,670213;0;0;0;0
14/01/06;0;0;0;0;0;0;0;0;0;0
15/01/06;0;0;0;0;0;-35,747385;0;0;0;0
16/01/06;47,644256;0;47,644256;0;0;55,584966;0;0;0;0
17/01/06;138,980807;0;138,980807;0;0;128,875276;1;0;0;0
18/01/06;-24,016011;0;-24,016011;0;0;-60,040027;0;0;0;0
19/01/06;60,329803;0;60,329803;0;0;60,364363;1;0;0;0
20/01/06;68,090788;0;68,090788;0;0;36,048064;0;0;0;0
21/01/06;0;0;0;0;0;0;0;0;0;0
22/01/06;0;0;0;0;0;-28,037383;0;0;0;0
23/01/06;47,770701;0;47,770701;0;0;-3,980892;0;0;0;0
24/01/06;15,968064;0;15,968064;0;0;-3,992016;0;0;0;0
25/01/06;-59,816563;0;-59,816563;0;0;-51,841021;0;0;0;0
26/01/06;63,567739;0;63,567739;0;0;93,493037;1;0;0;0
27/01/06;75,192873;1;75,192873;1;0;99,016472;1;0;0;0
28/01/06;0;0;0;0;0;0;0;0;0;0
29/01/06;0;0;0;0;0;-39,989336;0;0;0;0
30/01/06;-59,904153;0;-59,904153;0;0;110,306863;1;0;0;0
31/01/06;-219,473264;0;-219,473264;0;0;-259,377494;0;0;0;0
01/02/06;114,942529;0;114,942529;0;0;115,525043;1;0;0;0
02/02/06;89,126714;1;89,126714;1;0;63,756186;1;0;0;0
03/02/06;164,267318;1;164,267318;1;0;109,579017;1;0;0;0
04/02/06;0;0;0;0;0;0;0;0;0;0
05/02/06;0;0;0;0;0;47,980808;0;0;0;0
06/02/06;-164,658635;0;-164,658635;0;0;-192,771084;0;0;0;0
07/02/06;-4,03497;0;-4,03497;0;0;137,854187;1;0;0;0
08/02/06;32,493907;0;32,493907;0;0;80,47312;1;0;0;0
09/02/06;36,452005;0;36,452005;0;0;-8,100446;0;0;0;0
