tpa = 404, tpv=470;;;;;;;;;;
dP = -23, sl=40;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
date;gain (18h);isTp;gain sl;isTp;isSl;gain heure (16h);isTp;gain heure SL (17h);isTp;isSl
01/01/06;0;0;0;0;0;0;0;0;0;0
02/01/06;0;0;0;0;0;0;0;0;0;0
03/01/06;-39,261306;0;-60;0;1;-82,884979;0;0;0;0
04/01/06;56,603774;0;56,603774;0;0;39,187228;0;0;0;0
05/01/06;8,705746;0;-60;0;1;-17,411492;0;0;0;0
06/01/06;130,491518;0;166,452651;1;0;104,393214;0;0;0;0
07/01/06;0;0;0;0;0;0;0;0;0;0
08/01/06;0;0;0;0;0;0;0;0;0;0
09/01/06;-17,538731;0;-17,538731;0;0;-13,154049;0;0;0;0
10/01/06;-8,778347;0;-8,778347;0;0;13,16752;0;0;0;0
11/01/06;-135,825909;0;-60;0;1;-140,20739;0;0;0;0
12/01/06;121,935823;1;121,313979;1;0;115,17306;1;0;0;0
13/01/06;8,782201;0;8,782201;0;0;65,866511;0;0;0;0
14/01/06;0;0;0;0;0;0;0;0;0;0
15/01/06;0;0;0;0;0;0;0;0;0;0
16/01/06;-100,877193;0;-60;0;1;-105,263158;0;0;0;0
17/01/06;52,447552;0;-60;0;1;34,965035;0;0;0;0
18/01/06;21,853147;0;21,853147;0;0;-48,076923;0;0;0;0
19/01/06;4,361733;0;4,361733;0;0;0;0;0;0;0
20/01/06;117,244128;1;117,240196;1;0;127,453328;1;0;0;0
21/01/06;0;0;0;0;0;0;0;0;0;0
22/01/06;0;0;0;0;0;0;0;0;0;0
23/01/06;30,483379;0;30,483379;0;0;30,483379;0;0;0;0
24/01/06;69,69653;0;69,69653;0;0;56,62843;0;0;0;0
25/01/06;93,062108;1;93,061801;1;0;102,110383;1;0;0;0
26/01/06;17,479971;0;17,479971;0;0;48,06992;0;0;0;0
27/01/06;95,412008;1;95,411604;1;0;83,078268;0;0;0;0
28/01/06;0;0;0;0;0;0;0;0;0;0
29/01/06;0;0;0;0;0;0;0;0;0;0
30/01/06;98,104886;1;98,104765;1;0;91,863517;0;0;0;0
31/01/06;52,654673;0;-60;1;1;-30,715226;0;0;0;0
01/02/06;120,081286;1;120,081165;1;0;70,319367;0;0;0;0
02/02/06;13,237241;0;13,237241;0;0;13,237241;0;0;0;0
03/02/06;-119,205298;0;-60;0;1;-30,905077;0;0;0;0
04/02/06;0;0;0;0;0;0;0;0;0;0
05/02/06;0;0;0;0;0;0;0;0;0;0
06/02/06;-96,590078;0;-60;0;1;-21,95229;0;0;0;0
07/02/06;-65,683842;0;-60;0;1;-52,547073;0;0;0;0
08/02/06;21,853147;0;-60;0;1;-13,111888;0;0;0;0
09/02/06;-4,366177;0;-60;0;1;-43,661767;0;0;0;0
10/02/06;99,584959;1;99,584959;1;1;-78,682792;0;0;0;0
11/02/06;0;0;0;0;0;0;0;0;0;0
