tpa = 404;tpv=470;;;;;;;;;
;;;;;;;;;;
dP = -23;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
date;gain (18h);isTp;gain sl(40);isTp;isSl;gain heure (18h);isTp;gain heure SL (18h)(40);isTp;isSl
01/01/06;0;0;0;0;0;0;0;0;0;0
02/01/06;0;0;0;0;0;0;0;0;0;0
03/01/06;-39,261306;0;-39,261306;0;0;-39,261306;0;-39,261306;0;0
04/01/06;56,603774;0;56,603774;0;0;56,603774;0;56,603774;0;0
05/01/06;8,705746;0;8,705746;0;0;8,705746;0;8,705746;0;0
06/01/06;130,491518;0;166,452651;1;0;130,491518;0;166,452651;1;0
07/01/06;0;0;0;0;0;0;0;0;0;0
08/01/06;0;0;0;0;0;0;0;0;0;0
09/01/06;-17,538731;0;-17,538731;0;0;-17,538731;0;-17,538731;0;0
10/01/06;-8,778347;0;-8,778347;0;0;-8,778347;0;-8,778347;0;0
11/01/06;-135,825909;0;-120;0;1;-135,825909;0;-120;0;1
12/01/06;121,935823;1;121,313979;1;0;121,935823;1;121,313979;1;0
13/01/06;8,782201;0;8,782201;0;0;8,782201;0;8,782201;0;0
14/01/06;0;0;0;0;0;0;0;0;0;0
15/01/06;0;0;0;0;0;0;0;0;0;0
16/01/06;-100,877193;0;-100,877193;0;0;-100,877193;0;-100,877193;0;0
17/01/06;52,447552;0;52,447552;0;0;52,447552;0;52,447552;0;0
18/01/06;21,853147;0;21,853147;0;0;21,853147;0;21,853147;0;0
19/01/06;4,361733;0;4,361733;0;0;4,361733;0;4,361733;0;0
20/01/06;117,244128;1;117,240196;1;0;117,244128;1;117,240196;1;0
21/01/06;0;0;0;0;0;0;0;0;0;0
22/01/06;0;0;0;0;0;0;0;0;0;0
23/01/06;30,483379;0;30,483379;0;0;30,483379;0;30,483379;0;0
24/01/06;69,69653;0;69,69653;0;0;69,69653;0;69,69653;0;0
25/01/06;93,062108;1;93,061801;1;0;93,062108;1;93,061801;1;0
26/01/06;17,479971;0;17,479971;0;0;17,479971;0;17,479971;0;0
27/01/06;95,412008;1;95,411604;1;0;95,412008;1;95,411604;1;0
28/01/06;0;0;0;0;0;0;0;0;0;0
29/01/06;0;0;0;0;0;0;0;0;0;0
30/01/06;98,104886;1;98,104765;1;0;98,104886;1;98,104765;1;0
31/01/06;52,654673;0;52,654673;0;0;52,654673;0;52,654673;0;0
01/02/06;120,081286;1;120,081165;1;0;120,081286;1;120,081165;1;0
02/02/06;13,237241;0;13,237241;0;0;13,237241;0;13,237241;0;0
03/02/06;-119,205298;0;-120;0;1;-119,205298;0;-120;0;1
04/02/06;0;0;0;0;0;0;0;0;0;0
05/02/06;0;0;0;0;0;0;0;0;0;0
06/02/06;-96,590078;0;-96,590078;0;0;-96,590078;0;-96,590078;0;0
07/02/06;-65,683842;0;-65,683842;0;0;-65,683842;0;-65,683842;0;0
