tpa = 304;tpv=362;;;;;;;;;
;;;;;;;;;;
dP = -112;sl=10;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
date;gain (18h);isTp;gain sl;isTp;isSl;gain heure (19h);isTp;gain heure SL (18h);isTp;isSl
01/01/06;0;0;0;0;0;0;0;0;0;0
02/01/06;0;0;0;0;0;0;0;0;0;0
03/01/06;-216,934331;0;-30;0;1;-221,979316;0;-30;0;1
04/01/06;-117,070741;0;-30;0;1;-226,668881;0;-30;0;1
05/01/06;-12,401819;0;-30;0;1;-9,921455;0;-30;0;1
06/01/06;-133,939644;0;-30;0;1;-148,821827;0;-30;0;1
07/01/06;0;0;0;0;0;0;0;0;0;0
08/01/06;0;0;0;0;0;0;0;0;0;0
09/01/06;106,54993;0;106,54993;0;0;64,425539;0;106,54993;0;0
10/01/06;-7,462068;0;-30;0;1;-17,411492;0;-30;0;1
11/01/06;-186,582635;0;-30;0;1;-186,582635;0;-30;0;1
12/01/06;121,252172;1;-30;0;1;125,595259;1;-30;0;1
13/01/06;-67,086301;0;-30;0;1;-168,958092;0;-30;0;1
14/01/06;0;0;0;0;0;0;0;0;0;0
15/01/06;0;0;0;0;0;0;0;0;0;0
16/01/06;74,067978;0;74,067978;0;0;74,067978;0;74,067978;0;0
17/01/06;140,059682;1;140,059682;1;0;159,834832;1;140,059682;1;0
18/01/06;86,647962;0;-30;0;1;76,745338;0;-30;0;1
19/01/06;-84,395168;0;-30;0;1;-67,019692;0;-30;0;1
20/01/06;-54,635762;0;-30;0;1;-52,152318;0;-30;0;1
21/01/06;0;0;0;0;0;0;0;0;0;0
22/01/06;0;0;0;0;0;0;0;0;0;0
23/01/06;-102,966413;0;-30;0;1;-144,643295;0;-30;0;1
24/01/06;-9,767215;0;-9,767215;0;0;-21,976233;0;-9,767215;0;0
25/01/06;46,450982;0;-30;0;1;-2,444789;0;-30;0;1
26/01/06;78,277886;0;78,277886;0;0;88,062622;0;78,277886;0;0
27/01/06;92,257725;1;92,257725;1;0;103,407434;1;92,257725;1;0
28/01/06;0;0;0;0;0;0;0;0;0;0
29/01/06;0;0;0;0;0;0;0;0;0;0
30/01/06;102,206664;1;102,206664;1;0;44,594929;0;102,206664;1;0
31/01/06;-113,955409;0;-30;0;1;-175,887696;0;-30;0;1
01/02/06;93,952492;1;-30;0;1;105,971543;1;-30;0;1
02/02/06;-87,021382;0;-30;0;1;-87,021382;0;-30;0;1
03/02/06;111,772524;1;111,772524;1;0;124,57995;1;111,772524;1;0
04/02/06;0;0;0;0;0;0;0;0;0;0
05/02/06;0;0;0;0;0;0;0;0;0;0
06/02/06;77,512919;0;77,512919;0;0;85,014169;0;77,512919;0;0
07/02/06;25,039646;0;-30;0;1;17,527752;0;-30;0;1
08/02/06;92,708594;0;92,708594;0;0;67,652217;0;92,708594;0;0
09/02/06;32,56513;0;-30;0;1;2,50501;0;-30;0;1
