tpa = 144;tpv=254;;;;;;;;;
;;;;;;;;;;
dP = 115;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
date;gain (18h);isTp;gain sl (210);isTp;isSl;gain heure (22h);isTp;gain heure SL (22h)(220);isTp;isSl
01/01/06;0;0;0;0;0;0;0;0;0;0
02/01/06;0;0;0;0;0;0;0;0;0;0
03/01/06;135,806075;0;73,065525;1;0;-8,761682;0;83,331177;1;0
04/01/06;148,883375;0;45,664937;1;0;236,46183;0;51,421655;1;0
05/01/06;30,572136;0;30,572136;0;0;-8,734896;0;-8,734896;0;0
06/01/06;284,879474;0;55,27426;1;0;328,707085;0;68,366991;1;0
07/01/06;0;0;0;0;0;0;0;0;0;0
08/01/06;0;0;0;0;0;0;0;0;0;0
09/01/06;13,003901;0;63,079401;1;0;99,696576;0;79,048256;1;0
10/01/06;70,002234;1;60,377278;1;0;88,540419;1;74,982266;1;0
11/01/06;58,805349;1;57,721614;1;0;73,423993;1;68,939868;1;0
12/01/06;58,596675;1;58,32741;1;0;71,480234;1;70,864796;1;0
13/01/06;67,113433;1;66,775447;1;0;79,238508;1;78,466002;1;0
14/01/06;0;0;0;0;0;0;0;0;0;0
15/01/06;0;0;0;0;0;0;0;0;0;0
16/01/06;-77,209036;0;-77,209036;0;0;-115,813554;0;-115,813554;0;0
17/01/06;-215,703192;0;-215,703192;0;0;-146,678171;0;-146,678171;0;0
18/01/06;-100,087032;0;-100,087032;0;0;-143,603133;0;-143,603133;0;0
19/01/06;-127,659574;0;-127,659574;0;0;-132,061629;0;-132,061629;0;0
20/01/06;62,299507;1;62,299169;1;0;69,740438;1;69,739513;1;0
21/01/06;0;0;0;0;0;0;0;0;0;0
22/01/06;0;0;0;0;0;0;0;0;0;0
23/01/06;-65,655092;0;-65,655092;0;0;-43,770061;0;-43,770061;0;0
24/01/06;65,280028;1;65,27969;1;0;65,590841;1;65,590726;1;0
25/01/06;65,156691;1;65,156691;1;0;67,125169;1;67,125097;1;0
26/01/06;64,521848;1;64,521848;1;0;62,731179;1;62,731175;1;0
27/01/06;72,145949;1;72,145949;1;0;71,891788;1;71,891784;1;0
28/01/06;0;0;0;0;0;0;0;0;0;0
29/01/06;0;0;0;0;0;0;0;0;0;0
30/01/06;-35,144238;0;-35,144238;0;0;-74,681505;0;-74,681505;0;0
31/01/06;73,936919;1;73,936919;1;0;74,694122;1;74,694116;1;0
01/02/06;-117,664149;0;-117,664149;0;0;-165,601395;0;-165,601395;0;0
02/02/06;68,77792;1;68,77792;1;0;76,843028;1;76,843026;1;0
03/02/06;-186,631944;0;-186,631944;0;0;-156,25;0;-156,25;0;0
04/02/06;0;0;0;0;0;0;0;0;0;0
05/02/06;0;0;0;0;0;0;0;0;0;0
06/02/06;65,678257;1;65,678257;1;0;-70,257611;0;-70,257611;0;0
07/02/06;-83,284629;0;-83,284629;0;0;-206,019871;0;-206,019871;0;0
