tpa = 462;tpv=157;;;;;;;;;
;;;;;;;;;;
dP = 13;sl=150;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
date;gain (18h);isTp;gain sl;isTp;isSl;gain heure (19h);isTp;gain heure SL (19h);isTp;isSl
01/01/06;0;0;0;0;0;0;0;0;0;0
02/01/06;0;0;0;0;0;0;0;0;0;0
03/01/06;139,378818;0;139,378818;0;0;157,446442;0;157,446442;0;0
04/01/06;-114,157226;0;-114,157226;0;0;-233,503416;0;-233,503416;0;0
05/01/06;344,767543;0;344,767543;0;0;402,2288;0;402,2288;0;0
06/01/06;0;0;0;0;0;-12,875536;0;-12,875536;0;0
07/01/06;0;0;0;0;0;0;0;0;0;0
08/01/06;0;0;0;0;0;0;0;0;0;0
09/01/06;61,691372;0;61,691372;0;0;56,550424;0;56,550424;0;0
10/01/06;-136,083533;0;-136,083533;0;0;-112,975009;0;-112,975009;0;0
11/01/06;-193,017071;0;-193,017071;0;0;-167,281462;0;-167,281462;0;0
12/01/06;150,388937;0;150,388937;0;0;137,424373;0;137,424373;0;0
13/01/06;12,914335;0;12,914335;0;0;-30,994404;0;-30,994404;0;0
14/01/06;0;0;0;0;0;0;0;0;0;0
15/01/06;0;0;0;0;0;0;0;0;0;0
16/01/06;-41,390015;0;-41,390015;0;0;0;0;0;0;0
17/01/06;189,752445;1;189,752445;1;0;199,728114;1;199,728114;1;0
18/01/06;192,58792;1;192,58792;1;0;199,545266;1;199,545266;1;0
19/01/06;67,816178;1;67,816178;1;0;70,306631;1;70,306631;1;0
20/01/06;-280,710791;0;-280,710791;0;0;-275,560134;0;-275,560134;0;0
21/01/06;0;0;0;0;0;0;0;0;0;0
22/01/06;0;0;0;0;0;0;0;0;0;0
23/01/06;-20,827909;0;-20,827909;0;0;-46,862796;0;-46,862796;0;0
24/01/06;-57,241977;0;-57,241977;0;0;-65,047702;0;-65,047702;0;0
25/01/06;-96,312364;0;-96,312364;0;0;-83,29718;0;-83,29718;0;0
26/01/06;73,340598;1;73,340598;1;0;75,197001;1;75,197001;1;0
27/01/06;-46,97286;0;-46,97286;0;0;-18,267223;0;-18,267223;0;0
28/01/06;0;0;0;0;0;0;0;0;0;0
29/01/06;0;0;0;0;0;0;0;0;0;0
30/01/06;-130,480167;0;-130,480167;0;0;-78,2881;0;-78,2881;0;0
31/01/06;-39,27387;0;-39,27387;0;0;-62,838192;0;-62,838192;0;0
01/02/06;-13,14982;0;-13,14982;0;0;-31,559569;0;-31,559569;0;0
02/02/06;47,293747;0;47,293747;0;0;57,803468;0;57,803468;0;0
03/02/06;43,064562;1;43,064562;1;0;43,812748;1;43,812748;1;0
04/02/06;0;0;0;0;0;0;0;0;0;0
05/02/06;0;0;0;0;0;0;0;0;0;0
06/02/06;130,847214;1;130,847214;1;0;132,965006;1;132,965006;1;0
07/02/06;-60,146444;0;-60,146444;0;0;-107,217573;0;-107,217573;0;0
