!!!! ATTENTION !!!! : La journée affiche par default une vente

strategie: MAX
dP= -112, tpa= 304, tpv=362

gain total;meilleur slA;meilleur slV
15686.91;210;10

date;type;gain;isSl;isTp
1/1/2006;V;0.00;0;0
2/1/2006;V;0.00;0;0
3/1/2006;V;-30.00;1;0
4/1/2006;V;-30.00;1;0
5/1/2006;V;-30.00;1;0
6/1/2006;V;-30.00;1;0
7/1/2006;V;0.00;0;0
8/1/2006;V;0.00;0;0
9/1/2006;V;129.36;0;1
10/1/2006;V;-30.00;1;0
11/1/2006;V;-30.00;1;0
12/1/2006;V;-30.00;1;0
13/1/2006;V;-30.00;1;0
14/1/2006;V;0.00;0;0
15/1/2006;V;0.00;0;0
16/1/2006;V;74.07;0;0
17/1/2006;V;139.00;0;1
18/1/2006;V;-30.00;1;0
19/1/2006;V;-30.00;1;0
20/1/2006;V;-30.00;1;0
21/1/2006;V;0.00;0;0
22/1/2006;V;0.00;0;0
23/1/2006;V;-30.00;1;0
24/1/2006;V;-9.77;0;0
25/1/2006;V;-30.00;1;0
26/1/2006;V;78.28;0;0
27/1/2006;V;92.26;0;1
28/1/2006;V;0.00;0;0
29/1/2006;V;0.00;0;0
30/1/2006;V;102.21;0;1
31/1/2006;V;-30.00;1;0
1/2/2006;V;-30.00;1;0
2/2/2006;V;-30.00;1;0
3/2/2006;V;111.77;0;1
4/2/2006;V;0.00;0;0
5/2/2006;V;0.00;0;0
6/2/2006;V;77.51;0;0
7/2/2006;V;-30.00;1;0
8/2/2006;V;92.71;0;0
9/2/2006;V;-30.00;1;0
10/2/2006;V;-30.00;1;0
11/2/2006;V;0.00;0;0
12/2/2006;V;0.00;0;0
13/2/2006;V;-30.00;1;0
14/2/2006;V;107.71;0;1
15/2/2006;V;-30.00;1;0
16/2/2006;V;15.14;0;0
17/2/2006;V;-30.00;1;0
18/2/2006;V;0.00;0;0
19/2/2006;V;0.00;0;0
20/2/2006;V;15.06;0;0
21/2/2006;V;2.52;0;0
22/2/2006;V;74.42;0;1
23/2/2006;V;-30.00;1;0
24/2/2006;V;76.50;0;1
25/2/2006;V;0.00;0;0
26/2/2006;V;0.00;0;0
27/2/2006;V;-2.53;0;0
28/2/2006;V;-30.00;1;0
29/2/2006;V;0.00;0;0
30/2/2006;V;0.00;0;0
31/2/2006;V;0.00;0;0
1/3/2006;V;-30.00;1;0
2/3/2006;V;-30.00;1;0
3/3/2006;V;-30.00;1;0
4/3/2006;V;0.00;0;0
5/3/2006;V;0.00;0;0
6/3/2006;V;99.25;0;1
7/3/2006;V;120.26;0;1
8/3/2006;V;-30.00;1;0
9/3/2006;V;70.30;0;0
10/3/2006;V;102.37;0;1
11/3/2006;V;0.00;0;0
12/3/2006;V;0.00;0;0
13/3/2006;V;-30.00;1;0
14/3/2006;V;-30.00;1;0
15/3/2006;V;-30.00;1;0
16/3/2006;V;-30.00;1;0
17/3/2006;V;-30.00;1;0
18/3/2006;V;0.00;0;0
19/3/2006;V;0.00;0;0
20/3/2006;V;68.93;0;0
21/3/2006;V;-30.00;1;0
22/3/2006;V;-30.00;1;0
23/3/2006;V;106.59;0;1
24/3/2006;V;-30.00;1;0
25/3/2006;V;0.00;0;0
26/3/2006;V;0.00;0;0
27/3/2006;V;74.73;0;0
28/3/2006;V;-30.00;1;0
29/3/2006;V;-30.00;1;0
30/3/2006;V;-30.00;1;0
31/3/2006;V;117.04;0;1
1/4/2006;V;0.00;0;0
2/4/2006;V;0.00;0;0
3/4/2006;V;-30.00;1;0
4/4/2006;V;-30.00;1;0
5/4/2006;V;-30.00;1;0
6/4/2006;V;-30.00;1;0
7/4/2006;V;-30.00;1;0
8/4/2006;V;0.00;0;0
9/4/2006;V;0.00;0;0
10/4/2006;V;-30.00;1;0
11/4/2006;V;-30.00;1;0
12/4/2006;V;125.33;0;1
13/4/2006;V;-30.00;1;0
14/4/2006;V;9.91;0;0
15/4/2006;V;0.00;0;0
16/4/2006;V;0.00;0;0
17/4/2006;V;-30.00;1;0
18/4/2006;V;-30.00;1;0
19/4/2006;V;-30.00;1;0
20/4/2006;V;-30.00;1;0
21/4/2006;V;-30.00;1;0
22/4/2006;V;0.00;0;0
23/4/2006;V;0.00;0;0
24/4/2006;V;-30.00;1;0
25/4/2006;V;-30.00;1;0
26/4/2006;V;-30.00;1;0
27/4/2006;V;-30.00;1;0
28/4/2006;V;-30.00;1;0
29/4/2006;V;0.00;0;0
30/4/2006;V;0.00;0;0
31/4/2006;V;0.00;0;0
1/5/2006;V;-30.00;1;0
2/5/2006;V;-30.00;1;0
3/5/2006;V;45.03;0;0
4/5/2006;V;-30.00;1;0
5/5/2006;V;-30.00;1;0
6/5/2006;V;0.00;0;0
7/5/2006;V;0.00;0;0
8/5/2006;V;-30.00;1;0
9/5/2006;V;-30.00;1;0
10/5/2006;V;-30.00;1;0
11/5/2006;V;-30.00;1;0
12/5/2006;V;-30.00;1;0
13/5/2006;V;0.00;0;0
14/5/2006;V;0.00;0;0
15/5/2006;V;168.06;0;1
16/5/2006;V;-30.00;1;0
17/5/2006;V;-30.00;1;0
18/5/2006;V;-30.00;1;0
19/5/2006;V;179.28;0;1
20/5/2006;V;0.00;0;0
21/5/2006;V;0.00;0;0
22/5/2006;V;-30.00;1;0
23/5/2006;V;32.66;0;0
24/5/2006;V;-30.00;1;0
25/5/2006;V;-30.00;1;0
26/5/2006;V;-30.00;1;0
27/5/2006;V;0.00;0;0
