date;gain;minOuverture;minFermeture;isSl;isTp
3/1/6;-30.00;0;189;1;0
4/1/6;-30.00;0;250;1;0
5/1/6;-30.00;0;235;1;0
6/1/6;-30.00;0;510;1;0
9/1/6;106.55;0;0;0;0
10/1/6;-30.00;0;189;1;0
11/1/6;-30.00;0;340;1;0
12/1/6;-30.00;0;250;1;0
13/1/6;-30.00;0;520;1;0
16/1/6;74.07;0;0;0;0
17/1/6;140.06;0;389;0;1
18/1/6;-30.00;0;181;1;0
19/1/6;-30.00;0;627;1;0
20/1/6;-30.00;0;253;1;0
23/1/6;-30.00;0;188;1;0
24/1/6;-9.77;0;0;0;0
25/1/6;-30.00;0;211;1;0
26/1/6;78.28;0;0;0;0
27/1/6;92.26;0;369;0;1
30/1/6;102.21;0;505;0;1
31/1/6;-30.00;0;431;1;0
1/2/6;-30.00;0;222;1;0
2/2/6;-30.00;0;613;1;0
3/2/6;111.77;0;515;0;1
6/2/6;77.51;0;0;0;0
7/2/6;-30.00;0;186;1;0
8/2/6;92.71;0;0;0;0
9/2/6;-30.00;0;395;1;0
10/2/6;-30.00;0;389;1;0
13/2/6;-30.00;0;638;1;0
14/2/6;107.71;0;518;0;1
15/2/6;-30.00;0;540;1;0
16/2/6;15.14;0;0;0;0
17/2/6;-30.00;0;588;1;0
20/2/6;15.06;0;0;0;0
21/2/6;2.52;0;0;0;0
22/2/6;74.42;0;325;0;1
23/2/6;-30.00;0;242;1;0
24/2/6;76.50;0;354;0;1
27/2/6;-2.53;0;0;0;0
28/2/6;-30.00;0;218;1;0
1/3/6;-30.00;0;309;1;0
2/3/6;-30.00;0;265;1;0
3/3/6;-30.00;0;513;1;0
6/3/6;99.25;0;352;0;1
7/3/6;120.26;0;415;0;1
8/3/6;-30.00;0;292;1;0
9/3/6;70.30;0;0;0;0
10/3/6;102.37;0;568;0;1
13/3/6;-30.00;0;676;1;0
14/3/6;-30.00;0;265;1;0
15/3/6;-30.00;0;550;1;0
16/3/6;-30.00;0;286;1;0
17/3/6;-30.00;0;289;1;0
20/3/6;68.93;0;0;0;0
21/3/6;-30.00;0;300;1;0
22/3/6;-30.00;0;528;1;0
23/3/6;106.59;0;612;0;1
24/3/6;-30.00;0;520;1;0
27/3/6;74.73;0;0;0;0
28/3/6;-30.00;0;180;1;0
29/3/6;-30.00;0;199;1;0
30/3/6;-30.00;0;264;1;0
31/3/6;117.04;0;304;0;1
3/4/6;-30.00;0;285;1;0
4/4/6;-30.00;0;193;1;0
5/4/6;-30.00;0;515;1;0
6/4/6;-30.00;0;204;1;0
7/4/6;-30.00;0;511;1;0
10/4/6;-30.00;0;228;1;0
11/4/6;-30.00;0;207;1;0
12/4/6;125.33;0;514;0;1
13/4/6;-30.00;0;192;1;0
14/4/6;9.91;0;0;0;0
17/4/6;-30.00;0;370;1;0
18/4/6;-30.00;0;308;1;0
19/4/6;-30.00;0;314;1;0
20/4/6;-30.00;0;197;1;0
21/4/6;-30.00;0;242;1;0
24/4/6;-30.00;0;211;1;0
25/4/6;-30.00;0;192;1;0
26/4/6;-30.00;0;500;1;0
27/4/6;-30.00;0;600;1;0
28/4/6;-30.00;0;231;1;0
1/5/6;-30.00;0;489;1;0
2/5/6;-30.00;0;193;1;0
3/5/6;45.03;0;0;0;0
4/5/6;-30.00;0;513;1;0
5/5/6;-30.00;0;227;1;0
8/5/6;-30.00;0;257;1;0
9/5/6;-30.00;0;284;1;0
10/5/6;-30.00;0;197;1;0
11/5/6;-30.00;0;185;1;0
12/5/6;-30.00;0;200;1;0
15/5/6;168.06;0;259;0;1
16/5/6;-30.00;0;195;1;0
